id,name,start_date,end_date,budget,hashtags,team_id,description
1,Sneak Sneakers,1/1/2020 12:00,1/8/2020 12:00,5000,#sneak #sneakers,1,We want some awesome content of our new sneakers
2,Glow Foundation,1/1/2020 12:00,1/14/2020 12:00,4000,#glow #foundation,1,Be creative and do some tutorials for our new foundation
3,Tiny Tshirts,1/2/2020 12:00,2/1/2020 12:00,2000,#tinytshirts,1,Bring your whole self to the shoot for original content
4,Apple Baby Food,1/1/2020 12:00,3/10/2020 12:00,8000,#applebabyfood #baby,2,We are looking for familys with babies less than 12 months to showcase our great new babyfood!
5,Clean It Mops,1/1/2020 12:00,1/1/2020 12:00,2000,#cleanit #mops,2,Requirements are 2 posts on Instagram using the mop for cleaning
6,Sleep Tight Sheets,1/1/2020 12:00,1/30/2020 12:00,10000,#sleeptight #sheets,1,Some luxury shots of beautiful interiors highlighting our new sheet range
7,Office Chairs,1/1/2019 12:00,4/1/2019 10:00,8000,#office #chairs,2,New home office anyone?
8,Summer Sushi,1/1/2019 12:00,4/1/2019 10:00,1000,#summer #sushi,1,Pictures of the whole family enjoying sushi at our nearest branch
9,Illuminate Lights,10/5/2019 12:00,11/4/2019 10:00,7000,#illuminate #lights #fixtures,1,Illuminate your feed with our new desk lamps
10,Sure Stationary,5/7/2019 12:00,6/2/2019 10:00,4000,#sure #stationary #love,1,Show how you can get really creative and make beautiful images using our new stationary range
11,Maccas Burger,1/1/2020 12:00,1/8/2020 12:00,5000,#maccas #burger,3,Are you feeling hungrey for our new vegie burgers?
12,Coffee Cafe,1/1/2020 12:00,1/14/2020 12:00,4000,#coffee #cafe #coffewecafe,2,Showcase connecting with friends over a coffer at our new cafe
13,Bob's Burgers,1/2/2020 12:00,2/1/2020 12:00,2000,#bobsburgers #burgers,2,Show how enticing our new burgers are by featuring them in you stories
14,New Movie,1/1/2020 12:00,3/10/2020 12:00,8000,#newmovie #incinemasnow,3,Join us for the premier of New Movie and share the experience with your friends
15,Cathy Clothes,1/1/2020 12:00,1/1/2020 12:00,2000,#cathy #clothes #newseason,2,Time for a change and a new wardrobe - we would like 2 in store photos
16,Bay Hotel,1/1/2020 12:00,1/30/2020 12:00,10000,#bayhotel #hotel #waterfront,3,Enjoying a meal at our outdoor venue
17,Midnight Bar,1/1/2019 12:00,4/1/2019 10:00,8000,#midnightbar,3,Promote our new alcohol-free happy hour event
18,Kitchen Clean,1/1/2019 12:00,4/1/2019 10:00,1000,#kitchen #clean,2,Show us shots of your sparkling kitchen with our new cleaning products in the foreground
19,Flossy's Flowers,10/5/2019 12:00,11/4/2019 10:00,7000,#flossysflowers #flowers #spring,2,We would like great content making an event extra special by bringing some flowers to the occasion
20,Backyard Pots,5/7/2019 12:00,6/2/2019 10:00,4000,#backyard #pots,3,Bring the flowers inside and feature our new potted plants on your feed
21,Kyle's,2/2/2020 12:00,3/3/2020 12:00,1000,#meta,8,Kyle testing
